91 0.010000000000000002 100 0.0 + 2.220446049250313e-16im ComplexF64[-1.9520328968842615 + 0.9815627658876678im, 1.0 - 0.0im]
92 0.010000000000000002 100 0.0 + 1.3322676295501878e-15im ComplexF64[-3.2194974732879897 - 2.2159784272186824im, 1.0 - 0.0im]
93 0.010000000000000002 100 2.1744747089078307e-16 + 1.7005419644916325e-16im ComplexF64[-0.5721270561861692 + 0.323589746072978im, 1.0 - 0.0im]
94 0.010000000000000002 100 0.0 - 2.517774816730689e-16im ComplexF64[0.5398537136058098 + 0.09758415287254223im, 1.0 + 3.149238129272074e-17im]
95 0.010000000000000002 100 1.2857286226080141e-16 - 1.5428666732914717e-16im ComplexF64[0.5912871484197542 + 0.015250183014484735im, 1.0 + 0.0im]
96 0.010000000000000002 100 1.142514431546611e-16 - 2.6971107111953033e-17im ComplexF64[0.23310317763986224 - 0.4141751851280333im, 0.9999999999999999 - 0.0im]
97 0.010000000000000002 100 1.1102230246251565e-16 + 8.881784197001252e-16im ComplexF64[0.8092038916376733 - 2.52498680796831im, 1.0 - 0.0im]
98 0.010000000000000002 100 1.5700924586837752e-16 + 0.0im ComplexF64[0.5316110462696148 + 1.7035742200780353im, 1.0 - 0.0im]
99 0.010000000000000002 100 1.1188630228279524e-16 + 0.0im ComplexF64[0.11926747261400344 + 0.3934834878777496im, 0.9999999999999999 + 0.0im]
100 0.010000000000000002 100 0.0 + 4.440892098500626e-16im ComplexF64[-1.349419471120459 + 1.0507759825493077im, 1.0 + 0.0im]
