70 1.0e-5 100001 1.0061387771315792e-16 + 3.214433891951672e-17im ComplexF64[-0.4365220428936929 + 0.3854005837814711im, 1.0 + 5.688635847171773e-17im]
71 1.0e-5 100001 1.0933926780362667e-16 - 2.2546248738770995e-16im ComplexF64[0.7662600523992156 + 1.0451283119207935im, 1.0 + 4.35936096576684e-17im]
72 1.0e-5 100001 1.1102230246251565e-16 - 1.6653345369377348e-16im ComplexF64[0.5103293872187549 - 0.44559844008040483im, 1.0 + 0.0im]
73 1.0e-5 100001 1.1102230246251565e-16 + 5.551115123125783e-17im ComplexF64[0.5801519611589444 + 0.48884701929488683im, 1.0 - 0.0im]
74 1.0e-5 100001 2.2369405386823073e-16 + 8.816292739789346e-16im ComplexF64[1.059182332761681 - 5.143158069856775im, 0.9999999999999999 + 0.0im]
75 1.0e-5 100001 1.4432899320127035e-15 - 4.440892098500626e-16im ComplexF64[0.5445036274502474 + 3.32965108570817im, 1.0 - 0.0im]
76 1.0e-5 100001 2.1805470544200469e-16 + 2.261075103899852e-16im ComplexF64[-0.5221573268421079 - 0.8041556780321786im, 1.0 + 5.980595028387943e-17im]
77 1.0e-5 100001 5.551115123125783e-17 + 3.469446951953614e-17im ComplexF64[0.03934416316050006 + 0.010508550460842618im, 1.0 - 0.0im]
78 1.0e-5 100001 5.4678758314885905e-17 + 2.254248637669348e-16im ComplexF64[-0.24791258690231377 + 1.1805542982099881im, 1.0 + 0.0im]
79 1.0e-5 100001 6.661338147750939e-16 - 4.440892098500626e-16im ComplexF64[1.5836244582690722 - 0.5957808993755294im, 1.0 + 0.0im]
80 1.0e-5 100001 1.1102230246251565e-16 + 0.0im ComplexF64[0.37957181459017747 + 0.5301434526106977im, 1.0 - 0.0im]
81 1.0e-5 100001 6.941272630222131e-17 + 6.307925542793665e-17im ComplexF64[0.0016087201627769418 - 0.8452113691710128im, 0.9999999999999999 - 4.540037953145445e-18im]
82 1.0e-5 100001 1.8735013540549517e-16 + 2.220446049250313e-16im ComplexF64[-0.04498647300631283 + 1.1235390494952082im, 1.0 + 0.0im]
83 1.0e-5 100001 2.7755575615628914e-17 - 8.326672684688674e-17im ComplexF64[0.18998082687981868 + 0.06492449172491374im, 1.0 - 0.0im]
84 1.0e-5 100001 2.220446049250313e-16 - 4.440892098500626e-16im ComplexF64[1.128986126224732 + 3.0653566119538715im, 1.0 + 0.0im]
85 1.0e-5 100001 1.1102230246251565e-16 + 0.0im ComplexF64[-0.7290632003436549 + 1.2568603104260136im, 1.0 - 0.0im]
86 1.0e-5 100001 1.1102230246251565e-16 + 1.1102230246251565e-16im ComplexF64[-0.3175042790979978 + 0.6504911788977858im, 1.0 + 0.0im]
87 1.0e-5 100001 4.440892098500626e-16 + 8.881784197001252e-16im ComplexF64[1.4909885583737452 - 1.5448395764080125im, 1.0 - 0.0im]
88 1.0e-5 100001 5.551115123125783e-17 - 2.7755575615628914e-17im ComplexF64[-0.2878074516080846 + 0.16123084669875132im, 1.0 - 0.0im]
89 1.0e-5 100001 1.1102230246251565e-16 - 1.1102230246251565e-16im ComplexF64[-0.8426734995629603 + 0.5006818236810829im, 1.0 - 0.0im]
90 1.0e-5 100001 0.0 + 0.0im ComplexF64[0.551321250430887 + 1.3985619503382296im, 1.0 + 0.0im]
91 1.0e-5 100001 2.220446049250313e-16 - 3.3306690738754696e-16im ComplexF64[-1.9520328968842617 + 0.9815627658876679im, 1.0 - 0.0im]
92 1.0e-5 100001 8.870835392954391e-16 + 4.446373257289612e-16im ComplexF64[-3.219497473287989 - 2.2159784272186807im, 1.0 + 4.930339398295347e-17im]
93 1.0e-5 100001 0.0 + 1.7589438225675625e-16im ComplexF64[-0.5721270561861694 + 0.323589746072978im, 1.0 - 0.0im]
94 1.0e-5 100001 1.23433034960079e-16 - 1.9971884589996184e-16im ComplexF64[0.5398537136058097 + 0.0975841528725422im, 0.9999999999999999 + 0.0im]
95 1.0e-5 100001 1.4536121666210307e-16 - 7.022112871399428e-17im ComplexF64[0.5912871484197542 + 0.015250183014484822im, 1.0 + 0.0im]
96 1.0e-5 100001 0.0 + 1.1102230246251565e-16im ComplexF64[0.2331031776398623 - 0.41417518512803325im, 1.0 - 0.0im]
97 1.0e-5 100001 2.220446049250313e-16 - 4.440892098500626e-16im ComplexF64[0.8092038916376736 - 2.5249868079683098im, 1.0 - 0.0im]
98 1.0e-5 100001 1.23433034960079e-16 - 1.9971884589996184e-16im ComplexF64[0.5316110462696148 + 1.7035742200780355im, 1.0 - 0.0im]
99 1.0e-5 100001 1.3877787807814457e-17 + 5.551115123125783e-17im ComplexF64[0.11926747261400344 + 0.39348348787774956im, 1.0 + 0.0im]
100 1.0e-5 100001 2.220446049250313e-16 - 4.440892098500626e-16im ComplexF64[-1.3494194711204592 + 1.0507759825493077im, 1.0 + 0.0im]
